City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
410,Nadym,RU,65.5333,72.5167,66.0,49,48,9.4,scattered clouds
411,Jaru,BR,-10.4389,-62.4664,72.9,43,66,2.15,broken clouds
412,Jacareacanga,BR,-6.2222,-57.7528,78.3,44,97,1.54,overcast clouds
413,Staryy Nadym,RU,65.6118,72.6842,65.8,49,47,9.66,scattered clouds
414,Itoigawa,JP,37.0333,137.85,86.02,80,97,5.39,overcast clouds
415,Inuvik,CA,68.3499,-133.7218,58.06,61,75,3.44,broken clouds
416,Effingham,US,32.3669,-81.3332,82.85,87,100,6.53,overcast clouds
417,Sagua La Grande,CU,22.8067,-80.0756,79.63,83,100,9.46,overcast clouds
418,Houma,US,29.5958,-90.7195,78.01,91,40,0.0,scattered clouds
419,De Aar,ZA,-30.6497,24.0123,49.1,65,0,8.3,clear sky
420,Seabra,BR,-12.4186,-41.7703,55.94,86,2,1.63,clear sky
421,Bandarbeyla,SO,9.4942,50.8122,78.66,62,98,26.71,overcast clouds
422,Mikhaylovka,RU,50.06,43.2379,71.71,60,4,5.37,clear sky
423,Bud,US,39.447,-86.1758,75.67,90,89,5.68,overcast clouds
424,Waipawa,NZ,-41.4122,175.5153,50.67,81,93,15.41,overcast clouds
425,Iturama,BR,-19.7281,-50.1956,68.09,41,4,6.15,clear sky
426,Pilar,BR,-9.5972,-35.9567,71.53,95,63,3.18,broken clouds
427,Yaan,NG,7.3833,8.5667,70.7,97,100,4.99,overcast clouds
428,Severnoye,RU,56.3491,78.3619,71.44,74,97,5.59,overcast clouds
429,Hualmay,PE,-11.0964,-77.6139,61.41,87,43,10.18,scattered clouds
430,Nhulunbuy,AU,-12.2333,136.7667,83.01,57,20,17.27,few clouds
431,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.31,59,25,2.59,scattered clouds
432,Kiboga,UG,0.9161,31.7742,63.59,75,91,0.54,light rain
433,Geraldton,AU,-28.7667,114.6,70.21,68,40,8.05,scattered clouds
434,Sur,OM,22.5667,59.5289,82.13,70,91,16.04,overcast clouds
435,Kangaatsiaq,GL,68.3065,-53.4641,39.78,94,93,9.06,overcast clouds
436,Brigantine,US,39.4101,-74.3646,75.4,85,0,4.61,clear sky
