City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
76,Pavlodar,KZ,78.6,few clouds,52.3,76.95,Sary Arka
88,Mormugao,IN,78.06,heavy intensity rain,15.4,73.8,Coconut Creek Resort
90,Kalabagh,PK,90.25,overcast clouds,32.965,71.557,Paracha nimko shop
91,Jalu,LY,79.39,clear sky,29.0331,21.5482,صاحبة الفخامة
92,Solnechnyy,RU,81.05,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
93,Bubaque,GW,79.9,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
99,Bali Chak,IN,90.34,overcast clouds,22.3667,87.55,MG Guest House
101,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
106,Mainaguri,IN,84.4,overcast clouds,26.5667,88.8167,Suncity Resort Lataguri
109,Erzin,TR,80.2,clear sky,36.9559,36.2,Artemis Otel
112,Itarema,BR,77.79,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
114,Araceli,PH,84.42,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
121,Dakar,SN,82.53,broken clouds,14.6937,-17.4441,Novotel Dakar
122,Aden,YE,82.76,few clouds,12.7794,45.0367,Sama Emirate Hotel
123,Lazaro Cardenas,MX,79.9,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
124,Lensk,RU,91.26,clear sky,60.7253,114.9278,ТинОрС
126,Altamont,US,89.44,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
128,Karratha,AU,79.86,clear sky,-20.7377,116.8463,ibis Styles Karratha
133,Simao,CN,76.73,light rain,22.7886,100.9748,Changyu Hotel
139,Atuona,PF,77.63,light rain,-9.8,-139.0333,Villa Enata
141,Matay,EG,79.21,clear sky,28.419,30.7792,Nag Aespen
142,Aloleng,PH,85.19,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
146,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
150,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
158,Pringsewu,ID,84.85,broken clouds,-5.3582,104.9744,Urban Style by Front One
160,Cam Ranh,VN,87.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
161,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
168,Ciudad Bolivar,VE,78.78,clear sky,8.1222,-63.5497,Hotel Edi
175,Devli,IN,79.74,overcast clouds,25.75,75.3833,HOTEL DWARKA PALACE
176,Fukue,JP,88.16,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
177,Sakaiminato,JP,93.13,scattered clouds,35.55,133.2333,Italian pasley
180,Puerto Cabello,VE,78.22,few clouds,10.4731,-68.0125,Las Palmeras
182,Statesville,US,79.79,clear sky,35.7826,-80.8873,Courtyard by Marriott Statesville Mooresville/Lake Norman
188,Akyab,MM,86.27,scattered clouds,20.15,92.9,Hotel Memory
195,Sungaipenuh,ID,80.64,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
196,Dingle,PH,87.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
198,Pemangkat,ID,86.11,broken clouds,1.1667,108.9667,Ramah Kost KITA
200,Salalah,OM,77.09,haze,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
201,Ponnani,IN,81.72,broken clouds,10.767,75.9252,Rouba Residency
205,Naze,JP,86.92,broken clouds,28.3667,129.4833,Shishime Hotel
208,Shitanjing,CN,85.46,scattered clouds,39.2342,106.3439,Yingbin Hotel
210,Iwaki,JP,87.76,light rain,37.05,140.8833,Toyoko Inn Iwaki Ekimae
216,Ojhar,IN,77.61,overcast clouds,20.1,73.9333,Aurangabad Deogaon Rangari
222,Daru,PG,78.12,scattered clouds,-9.0763,143.2092,Daru Lodge
227,Jagadhri,IN,88.41,broken clouds,30.1667,77.3,Buddha Cafe International
229,Kavaratti,IN,78.55,light rain,10.5669,72.642,Green leaf
231,Tolga,DZ,88.61,clear sky,34.7222,5.3785,سجن طولقة
232,Bengkulu,ID,84.9,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
234,Fare,PF,77.97,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
237,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
240,Nauchnyy Gorodok,RU,76.06,clear sky,53.4203,83.521,"""Usad'ba Na Lyapikhe"""
243,Great Falls,US,78.19,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
246,Tateyama,JP,82.15,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
250,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
252,Sterling,US,79.59,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
255,Sao Filipe,CV,78.26,overcast clouds,14.8961,-24.4956,Hotel Xaguate
261,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
262,Mangan,IN,79.03,overcast clouds,27.5167,88.5333,Hotel Mout View
266,Port Keats,AU,86.77,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
269,Celestun,MX,78.78,overcast clouds,20.8667,-90.4,Posada Lilia
274,Yerofey Pavlovich,RU,76.5,overcast clouds,53.9667,121.9667,lounges and warm parking
275,Urumqi,CN,88.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
276,Katsuura,JP,83.41,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
283,Kloulklubed,PW,84.22,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
286,Semey,KZ,82.62,broken clouds,50.4111,80.2275,Grand Hotel Semey
289,Turbat,PK,82.38,overcast clouds,26.0023,63.044,Mubashar Quarters
290,Lincoln,US,80.51,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
296,Tautira,PF,77.04,light rain,-17.7333,-149.15,Pension Oaoa
301,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
303,Padang,ID,86.05,few clouds,-0.9492,100.3543,Mercure Padang
305,Oskemen,KZ,80.56,scattered clouds,49.9565,82.6119,Dedeman Oskemen Tavros Hotel
306,Namatanai,PG,84.97,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
308,Ugoofaaru,MV,82.13,overcast clouds,5.6667,73.0,Ungoofaaru Inn
309,Sulangan,PH,84.65,overcast clouds,11.1373,123.7228,Maia's Beach Resort
312,Arlit,NE,85.42,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
318,Kosum Phisai,TH,90.09,heavy intensity rain,16.2486,103.0674,Kosum Bungalow
322,Keti Bandar,PK,84.38,broken clouds,24.1447,67.4497,Haji laloo memon house
330,Dum Duma,IN,79.36,overcast clouds,27.5667,95.5667,ROYAL HOME
339,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
340,Kushiro,JP,77.95,broken clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
341,San Policarpo,PH,86.4,overcast clouds,12.1791,125.5072,Agapita M. Nicart
343,Sabang,ID,81.93,broken clouds,5.8933,95.3214,Hotel Citra
345,Seoul,KR,90.79,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
346,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
352,Liaqatabad,PK,84.36,mist,31.5647,74.3029,"Hotel One Down Town, Lahore"
353,Tottori,JP,86.07,scattered clouds,35.5,134.2333,Hotel Monarque Tottori
354,Rockland,US,76.59,overcast clouds,41.1668,-74.0496,National Camp Association
356,Sri Aman,MY,86.09,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
357,Acapulco,MX,77.92,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
358,Yongan,CN,77.18,clear sky,39.6957,113.6871,Beiyue International Hotel
360,Nargana,PA,78.03,overcast clouds,9.4428,-78.5906,Dubbir
